日期,开盘,收盘,最高,最低,成交量
2025-07-02,42.89,42.01,42.9,41.56,566937.0
2025-07-03,42.41,43.91,44.18,42.4,773346.0
2025-07-04,46.2,46.8,48.01,46.09,1011468.0
2025-07-07,46.7,45.3,47.61,44.73,639771.0
2025-07-08,44.95,48.57,48.87,44.87,889991.0
2025-07-09,48.37,47.31,48.79,46.98,669887.0
2025-07-10,47.9,46.75,48.05,45.42,680527.0
2025-07-11,46.6,46.76,48.7,46.28,660824.0
2025-07-14,46.8,47.51,48.05,46.71,437255.0
2025-07-15,48.49,50.94,51.05,47.75,980748.0
2025-07-16,51.4,48.41,51.45,48.36,702764.0
2025-07-17,48.3,52.61,53.16,48.15,884652.0
2025-07-18,53.01,51.6,54.59,51.47,664821.0
2025-07-21,51.39,50.99,51.94,49.9,621631.0
2025-07-22,50.76,50.95,52.96,50.09,636862.0
2025-07-23,50.0,49.16,50.22,48.8,689649.0
2025-07-24,50.16,49.19,50.66,48.4,571444.0
2025-07-25,48.89,49.04,49.86,48.62,311958.0
2025-07-28,49.41,52.24,52.82,48.63,841264.0
2025-07-29,52.6,54.68,55.04,52.06,795814.0
2025-07-30,54.18,53.98,54.28,52.72,511114.0
2025-07-31,55.7,55.77,58.09,55.17,836063.0
2025-08-01,54.81,53.35,56.28,52.71,672200.0
2025-08-04,52.43,53.44,53.71,51.7,453269.0
2025-08-05,54.19,52.08,54.76,51.2,567905.0
2025-08-06,51.59,52.08,53.63,51.3,471140.0
2025-08-07,52.08,50.72,52.94,49.6,744866.0
2025-08-08,50.51,50.58,51.36,49.74,417591.0
2025-08-11,50.5,51.53,52.19,50.33,522156.0
2025-08-12,51.57,52.48,52.68,51.0,600141.0
2025-08-13,53.36,57.78,57.78,52.5,1102026.0
2025-08-14,57.48,54.57,57.48,54.44,756850.0
2025-08-15,54.38,54.85,56.55,53.9,667918.0
2025-08-18,54.83,55.46,57.0,53.08,771211.0
2025-08-19,55.33,54.45,57.12,53.76,732527.0
2025-08-20,53.13,54.15,54.75,50.9,543146.0
2025-08-21,54.18,53.07,54.5,51.2,796534.0
2025-08-22,53.05,55.13,56.4,52.52,957338.0
2025-08-25,55.82,57.45,57.98,54.19,1045457.0
2025-08-26,57.25,57.15,59.0,56.51,696686.0
2025-08-27,56.91,58.39,61.17,56.91,971258.0
2025-08-28,58.68,63.62,63.74,57.92,1009704.0
2025-08-29,64.0,68.29,69.5,62.7,979239.0
2025-09-01,68.68,69.3,71.0,65.83,916326.0
2025-09-02,68.7,66.72,71.71,64.92,971940.0
2025-09-03,66.06,65.48,67.08,64.15,674717.0
2025-09-04,65.93,58.88,66.99,58.88,868580.0
