日期,开盘,收盘,最高,最低,成交量
2021-07-30,12.109,11.41,12.464,10.01,7478988.0
2021-08-31,11.3,9.39,12.3,9.14,5888377.0
2021-09-30,9.37,9.41,10.71,9.28,3535349.0
2021-10-29,9.58,8.44,9.84,8.06,3060177.0
2021-11-30,8.46,13.36,14.22,8.46,16894704.0
2021-12-31,13.1,14.78,15.69,12.27,10369155.0
2022-01-28,14.85,15.47,17.05,13.03,7311403.0
2022-02-28,15.81,15.01,16.46,13.41,4514109.0
2022-03-31,15.1,11.44,16.07,10.46,6706582.0
2022-04-29,11.31,11.2,11.72,8.97,6639882.0
2022-05-31,11.17,14.08,14.35,11.0,5212073.0
2022-06-30,14.0,13.11,15.66,12.55,6885803.0
2022-07-29,13.11,10.45,13.26,9.95,10330581.0
2022-08-31,10.43,10.31,12.16,10.06,13694243.0
2022-09-30,10.28,8.31,10.74,8.3,4815400.0
2022-10-31,8.3,9.24,9.64,7.85,4164690.0
2022-11-30,9.25,11.03,11.95,9.09,9903596.0
2022-12-30,11.23,10.25,11.45,9.82,4590714.0
2023-01-31,10.23,11.07,11.31,10.16,3120858.0
2023-02-28,11.94,14.75,15.53,11.73,12365928.0
2023-03-31,14.76,19.84,21.3,13.31,15832210.0
2023-04-28,19.72,20.43,24.85,19.41,20355183.0
2023-05-31,20.25,19.39,21.57,15.43,19687829.0
2023-06-30,19.44,19.44,22.32,16.95,19668672.0
2023-07-31,20.35,20.43,24.46,19.6,19735364.0
2023-08-31,20.69,19.63,22.51,17.9,13510427.0
2023-09-28,19.5,21.01,21.97,16.92,10486538.0
2023-10-31,21.02,18.04,21.3,17.3,6955544.0
2023-11-30,18.15,19.17,21.0,17.64,6641503.0
2023-12-29,19.12,20.62,21.5,18.41,5264945.0
2024-01-31,20.6,18.21,22.14,17.93,6404150.0
2024-02-29,18.05,24.9,25.99,17.74,9946649.0
2024-03-29,24.91,28.68,32.82,24.89,14194405.0
2024-04-30,28.7,32.0,33.16,25.47,10276474.0
2024-05-31,32.7,30.25,32.89,29.41,7205114.0
2024-06-28,30.3,35.5,38.28,30.3,8076727.0
2024-07-31,35.12,32.48,40.96,31.01,9434578.0
2024-08-30,34.0,31.51,34.32,28.86,8009912.0
2024-09-30,33.1,39.16,39.17,28.66,9195601.0
2024-10-31,43.18,39.87,45.86,38.26,10442593.0
2024-11-29,39.3,36.32,41.5,34.25,9090085.0
2024-12-31,36.99,38.65,40.97,35.03,9677477.0
2025-01-27,38.13,40.59,45.15,37.1,8616503.0
2025-02-28,39.75,34.07,42.37,33.29,12908373.0
2025-03-31,33.8,31.8,36.19,30.38,12977316.0
2025-04-30,31.97,26.9,32.47,22.58,13104442.0
2025-05-30,27.36,30.48,31.95,27.35,10153310.0
2025-06-30,30.15,42.08,45.4,30.06,16669732.0
2025-07-31,41.5,55.77,58.09,41.48,16109582.0
2025-08-29,54.81,68.29,69.5,49.6,15479162.0
2025-09-30,68.68,72.97,83.95,57.64,15424892.0
2025-10-31,74.21,70.46,82.62,63.5,9022733.0
2025-11-28,69.57,68.95,73.5,59.06,11409258.0
2025-12-31,69.15,72.57,77.24,67.0,14413477.0
2026-01-30,73.3,69.25,78.95,66.67,14990314.0
2026-02-27,68.97,83.1,85.3,64.48,9753638.0
2026-03-31,81.5,75.47,93.46,69.0,19471768.0
2026-04-30,78.0,102.07,108.76,74.83,16210738.0
2026-05-29,104.4,132.04,138.87,98.3,13642035.0
2026-06-30,132.04,152.8,156.33,119.2,19786904.0
