日期,开盘,收盘,最高,最低,成交量
2024-03-15,29.1,29.9,30.34,27.27,4022626.0
2024-03-22,29.92,30.34,32.82,29.77,2563198.0
2024-03-29,30.0,28.68,31.11,27.89,3777308.0
2024-04-03,28.7,28.12,30.6,27.9,1732760.0
2024-04-12,27.8,28.74,29.8,27.2,2201154.0
2024-04-19,28.41,28.47,29.96,27.86,2392600.0
2024-04-26,26.3,31.66,32.39,25.47,2958375.0
2024-04-30,31.93,32.0,33.16,31.5,991585.0
2024-05-10,32.7,29.89,32.89,29.41,1988638.0
2024-05-17,30.01,30.91,31.98,29.6,2056622.0
2024-05-24,30.8,30.24,32.33,30.11,1743971.0
2024-05-31,30.49,30.25,31.28,29.46,1415883.0
2024-06-07,30.3,31.75,34.1,30.3,2423632.0
2024-06-14,31.68,36.06,36.86,31.31,2008576.0
2024-06-21,36.5,36.1,38.28,35.4,1929139.0
2024-06-28,35.9,35.5,37.09,34.33,1715380.0
2024-07-05,35.12,37.1,37.24,34.73,1507891.0
2024-07-12,36.69,39.25,40.96,36.4,2023947.0
2024-07-19,38.0,34.3,39.0,33.43,2692886.0
2024-07-26,34.02,32.52,35.8,31.5,1984693.0
2024-08-02,32.45,30.91,34.32,30.73,2297362.0
2024-08-09,29.57,31.41,32.0,29.01,2146245.0
2024-08-16,31.11,32.74,33.39,31.03,1710993.0
2024-08-23,32.6,32.42,33.34,31.62,1363117.0
2024-08-30,32.59,31.51,32.75,28.86,1717356.0
2024-09-06,33.1,29.7,33.38,29.61,2552084.0
2024-09-13,29.09,32.97,33.15,28.66,2053807.0
2024-09-20,32.45,31.15,33.03,31.0,948815.0
2024-09-27,31.07,35.52,36.1,30.71,2711185.0
2024-09-30,36.25,39.16,39.17,35.32,929710.0
2024-10-11,43.18,40.84,45.86,38.3,3060537.0
2024-10-18,40.84,42.13,43.33,38.26,2495466.0
2024-10-25,42.98,43.28,44.58,40.15,2538988.0
2024-11-01,42.97,38.42,43.03,38.42,2781108.0
2024-11-08,38.41,39.31,40.92,38.35,2351588.0
2024-11-15,39.11,37.99,41.5,37.77,2867800.0
2024-11-22,37.99,35.64,38.68,35.64,1628931.0
2024-11-29,35.64,36.32,37.0,34.25,1808260.0
2024-12-06,36.99,37.53,38.2,36.22,1408155.0
2024-12-13,37.57,36.9,37.88,35.03,2641846.0
2024-12-20,36.98,38.07,38.7,35.93,2565321.0
2024-12-27,38.08,40.02,40.97,37.02,2109951.0
2025-01-03,39.8,38.0,40.85,37.1,1661313.0
2025-01-10,38.39,41.0,43.19,37.88,2335261.0
2025-01-17,39.9,38.72,41.2,37.54,2449646.0
2025-01-24,39.01,43.67,45.15,39.0,2600486.0
2025-01-27,41.7,40.59,41.85,40.5,522001.0
2025-02-07,39.75,38.1,39.98,35.81,2636543.0
2025-02-14,38.2,37.78,39.0,37.01,2818676.0
2025-02-21,37.7,41.49,42.37,37.67,3038257.0
2025-02-28,41.0,34.07,41.0,33.29,4414897.0
2025-03-07,33.8,32.36,33.88,30.38,3841482.0
2025-03-14,32.47,34.77,35.0,31.9,3390695.0
2025-03-21,35.26,33.12,36.19,33.0,3260802.0
2025-03-28,33.01,31.52,34.04,31.32,2093919.0
2025-04-03,31.19,29.79,32.47,29.72,1970901.0
2025-04-11,26.71,26.68,27.21,22.58,3956590.0
2025-04-18,27.71,26.73,27.91,25.04,2858967.0
2025-04-25,26.72,28.2,29.22,26.29,3183840.0
2025-04-30,28.1,26.9,28.14,26.3,1524562.0
2025-05-09,27.36,30.07,30.77,27.35,3012789.0
2025-05-16,30.6,30.34,31.95,30.0,2912481.0
2025-05-23,30.2,29.97,31.27,29.51,1781919.0
2025-05-30,29.85,30.48,31.1,28.54,2446121.0
2025-06-06,30.15,34.93,35.33,30.06,3643565.0
2025-06-13,35.51,38.12,38.85,35.31,3949220.0
2025-06-20,38.49,42.71,45.4,38.2,4714768.0
2025-06-27,41.94,42.3,43.31,40.5,3671226.0
2025-07-04,42.58,46.8,48.01,41.43,3773496.0
2025-07-11,46.7,46.76,48.87,44.73,3541000.0
2025-07-18,46.8,51.6,54.59,46.71,3670240.0
2025-07-25,51.39,49.04,52.96,48.4,2831544.0
2025-08-01,49.41,53.35,58.09,48.63,3656455.0
2025-08-08,52.43,50.58,54.76,49.6,2654771.0
2025-08-15,50.5,54.85,57.78,50.33,3649091.0
2025-08-22,54.83,55.13,57.12,50.9,3800756.0
2025-08-29,55.82,68.29,69.5,54.19,4702344.0
2025-09-05,68.68,63.64,71.71,58.19,4426313.0
2025-09-12,63.47,71.4,72.5,57.64,4045314.0
2025-09-19,70.4,75.4,77.48,67.87,3126244.0
2025-09-26,75.78,71.52,83.95,71.38,3029478.0
2025-09-30,71.3,72.97,74.89,71.0,797543.0
2025-10-10,74.21,72.26,76.75,70.81,989055.0
2025-10-17,66.5,63.67,72.1,63.5,2342358.0
2025-10-24,64.81,72.61,72.68,64.81,2327223.0
2025-10-31,75.1,70.46,82.62,70.15,3364097.0
2025-11-07,69.57,68.94,73.02,66.94,2412172.0
2025-11-14,68.28,61.11,69.16,61.11,2297472.0
2025-11-21,61.6,61.0,66.25,60.9,2282567.0
2025-11-28,62.0,68.95,73.5,59.06,4417047.0
2025-12-05,69.15,68.03,73.25,67.51,2946372.0
2025-12-12,68.1,70.27,74.98,67.22,3547781.0
2025-12-19,69.03,67.02,71.5,67.0,2723696.0
2025-12-26,67.85,71.28,73.45,67.79,2909908.0
2025-12-31,71.15,72.57,77.24,70.7,2285720.0
2026-01-09,73.3,69.5,75.86,68.1,3558836.0
2026-01-16,69.3,76.5,78.95,66.67,4316319.0
2026-01-23,75.79,71.6,76.8,70.25,4101065.0
2026-01-30,71.3,69.25,73.66,67.72,3014094.0
2026-02-06,68.97,68.66,71.0,64.48,2825105.0
2026-02-13,70.2,68.67,72.87,67.04,2432511.0
2026-02-27,69.51,83.1,85.3,68.48,4496022.0
2026-03-06,81.5,74.91,82.49,73.83,3615632.0
2026-03-13,72.5,80.68,82.98,69.0,4177292.0
2026-03-20,80.9,83.8,93.46,78.0,6535915.0
2026-03-27,81.45,80.14,84.89,75.99,4062435.0
2026-04-03,78.5,75.82,79.31,74.85,2762523.0
2026-04-10,76.01,87.82,89.16,74.83,3394519.0
2026-04-17,86.0,97.16,98.88,85.91,4731768.0
2026-04-24,96.5,101.88,108.76,95.35,4151937.0
2026-04-30,103.51,102.07,106.38,98.55,2250485.0
2026-05-08,104.4,108.71,111.36,102.31,1903124.0
2026-05-15,110.0,102.99,114.46,101.8,3401425.0
2026-05-22,101.55,114.07,114.07,98.3,3328827.0
2026-05-29,121.02,132.04,138.87,119.2,5008659.0
2026-06-05,132.04,133.22,142.78,119.2,4880471.0
2026-06-12,125.0,125.2,142.3,124.22,4979246.0
2026-06-18,128.5,147.9,149.9,122.22,3924018.0
2026-06-26,149.79,147.28,156.33,137.2,4305826.0
2026-06-30,147.28,152.8,155.08,135.63,1697343.0
