日期,开盘,收盘,最高,最低,成交量
2024-07-05,2954.37,2949.93,2957.11,2920.2,272324556.0
2024-07-08,2939.84,2922.45,2947.61,2917.23,277533424.0
2024-07-09,2919.57,2959.37,2963.78,2904.04,315062031.0
2024-07-10,2949.03,2939.36,2958.86,2935.33,301549456.0
2024-07-11,2957.25,2970.39,2971.36,2947.4,328372424.0
2024-07-12,2965.61,2971.3,2977.14,2963.3,303713014.0
2024-07-15,2963.85,2974.01,2977.31,2959.13,268992597.0
2024-07-16,2963.9,2976.3,2977.36,2959.67,260783630.0
2024-07-17,2970.81,2962.85,2972.79,2957.95,282307991.0
2024-07-18,2951.14,2977.13,2978.09,2937.9,278022665.0
2024-07-19,2963.51,2982.31,2986.24,2955.12,280932413.0
2024-07-22,2978.19,2964.22,2978.6,2946.56,278749559.0
2024-07-23,2960.5,2915.37,2960.5,2915.37,296295994.0
2024-07-24,2909.15,2901.95,2922.03,2894.29,306118853.0
2024-07-25,2891.89,2886.74,2897.77,2872.85,274639500.0
2024-07-26,2886.0,2890.9,2899.12,2875.4,278387536.0
2024-07-29,2889.47,2891.85,2898.95,2878.58,256899727.0
2024-07-30,2885.22,2879.3,2885.22,2865.15,262478837.0
2024-07-31,2877.54,2938.75,2940.59,2876.3,412723417.0
2024-08-01,2940.12,2932.39,2947.88,2928.83,346621137.0
2024-08-02,2913.02,2905.34,2931.26,2902.72,312205039.0
2024-08-05,2889.36,2860.7,2919.03,2860.7,355540572.0
2024-08-06,2878.65,2867.28,2888.2,2845.34,297300803.0
2024-08-07,2864.01,2869.83,2886.94,2857.72,263097150.0
2024-08-08,2864.76,2869.9,2886.4,2850.87,289128632.0
2024-08-09,2879.87,2862.19,2887.85,2862.19,284253916.0
2024-08-12,2858.89,2858.2,2869.27,2851.3,244241371.0
2024-08-13,2860.41,2867.95,2867.95,2845.31,231674601.0
2024-08-14,2866.24,2850.65,2866.24,2850.4,217885170.0
2024-08-15,2844.2,2877.36,2889.09,2839.39,271900000.0
2024-08-16,2877.94,2879.43,2888.68,2873.06,263653441.0
2024-08-19,2877.95,2893.67,2905.15,2877.77,261687730.0
2024-08-20,2895.55,2866.66,2896.52,2855.33,263658002.0
2024-08-21,2858.94,2856.58,2863.89,2848.15,229200027.0
2024-08-22,2856.2,2848.77,2861.61,2845.5,245399415.0
2024-08-23,2844.77,2854.37,2860.73,2839.34,226692565.0
2024-08-26,2855.47,2855.52,2860.65,2844.38,227351523.0
2024-08-27,2850.88,2848.73,2853.78,2843.16,230693006.0
2024-08-28,2844.33,2837.43,2852.56,2830.96,228730623.0
2024-08-29,2829.45,2823.11,2831.43,2815.38,277510534.0
2024-08-30,2819.65,2842.21,2867.96,2817.01,397516975.0
2024-09-02,2832.35,2811.04,2839.28,2810.37,340714193.0
2024-09-03,2809.17,2802.98,2814.9,2794.91,275736139.0
2024-09-04,2786.5,2784.28,2800.61,2781.94,257453500.0
2024-09-05,2785.26,2788.31,2796.02,2777.47,242040948.0
2024-09-06,2791.76,2765.81,2804.09,2765.64,253645375.0
2024-09-09,2754.72,2736.49,2756.56,2726.97,261468847.0
2024-09-10,2737.88,2744.19,2750.12,2718.63,262159015.0
2024-09-11,2732.73,2721.8,2732.73,2710.62,242264900.0
2024-09-12,2722.14,2717.12,2734.68,2716.56,240084315.0
2024-09-13,2718.99,2704.09,2728.78,2703.37,251270038.0
2024-09-18,2705.35,2717.28,2724.11,2689.7,247817132.0
2024-09-19,2723.21,2736.02,2747.74,2697.78,315208389.0
2024-09-20,2734.23,2736.81,2741.16,2717.95,285644627.0
2024-09-23,2735.39,2748.92,2760.48,2731.36,257642154.0
2024-09-24,2770.75,2863.13,2863.15,2761.37,477619545.0
2024-09-25,2901.42,2896.31,2952.45,2889.05,568259816.0
2024-09-26,2893.75,3000.95,3000.95,2889.01,576319261.0
2024-09-27,3049.1,3087.53,3087.53,3017.45,492287163.0
2024-09-30,3194.72,3336.5,3358.59,3153.7,1102337917.0
2024-10-08,3674.4,3489.78,3674.4,3372.19,1313460195.0
2024-10-09,3427.22,3258.86,3437.16,3249.16,992757256.0
2024-10-10,3277.69,3301.93,3379.81,3228.12,834500257.0
2024-10-11,3287.87,3217.74,3297.75,3187.99,606027433.0
2024-10-14,3241.43,3284.32,3294.62,3203.9,631466859.0
2024-10-15,3265.75,3201.29,3285.21,3201.29,566054558.0
2024-10-16,3169.17,3202.95,3236.85,3167.74,515813997.0
2024-10-17,3220.73,3169.38,3241.57,3169.38,528611772.0
2024-10-18,3165.97,3261.56,3313.98,3152.82,693014623.0
2024-10-21,3276.06,3268.11,3300.66,3239.1,668150299.0
2024-10-22,3263.82,3285.87,3294.96,3255.14,574913781.0
2024-10-23,3285.25,3302.8,3331.08,3277.07,650444128.0
2024-10-24,3287.82,3280.26,3292.94,3266.88,519827074.0
2024-10-25,3280.76,3299.7,3319.36,3276.13,595651707.0
