日期,开盘,收盘,最高,最低,成交量
2016-07-29,2931.8,2979.34,3069.05,2922.52,4011659241.0
2016-08-31,2971.95,3085.49,3140.44,2931.96,3956218230.0
2016-09-30,3083.96,3004.7,3105.68,2969.13,2795832180.0
2016-10-31,3020.46,3100.49,3137.03,3014.62,2783130097.0
2016-11-30,3101.66,3250.03,3301.21,3094.1,5200799403.0
2016-12-30,3257.03,3103.64,3279.71,3068.42,3965931470.0
2017-01-26,3105.31,3159.17,3174.58,3044.29,2759490668.0
2017-02-28,3160.08,3241.73,3264.08,3132.03,3398041798.0
2017-03-31,3240.07,3222.51,3283.24,3193.16,4117634422.0
2017-04-28,3235.66,3154.66,3295.19,3097.33,3789459392.0
2017-05-31,3147.23,3117.18,3154.78,3016.53,3228021196.0
2017-06-30,3108.42,3192.43,3193.46,3078.79,3204652287.0
2017-07-31,3192.0,3273.03,3276.95,3139.5,4187623651.0
2017-08-31,3274.37,3360.81,3376.65,3200.75,5059863051.0
2017-09-29,3365.99,3348.94,3391.64,3332.6,4232609695.0
2017-10-31,3403.25,3393.34,3421.1,3357.28,2706739540.0
2017-11-30,3393.97,3317.19,3450.49,3300.78,3982400473.0
2017-12-29,3315.1,3307.17,3324.52,3254.18,2941226853.0
2018-01-31,3314.03,3480.83,3587.03,3314.03,4797771232.0
2018-02-28,3478.67,3259.41,3495.09,3062.74,2888959452.0
2018-03-30,3235.09,3168.9,3333.88,3091.46,3704084120.0
2018-04-27,3169.78,3082.23,3220.85,3041.62,2698985451.0
2018-05-31,3087.41,3095.47,3219.74,3041.0,2979289092.0
2018-06-29,3084.75,2847.42,3128.72,2782.38,2623979372.0
2018-07-31,2841.58,2876.4,2915.3,2691.02,3049095133.0
2018-08-31,2882.51,2725.25,2897.4,2653.11,2821389013.0
2018-09-28,2716.4,2821.35,2827.34,2644.3,2148358950.0
2018-10-31,2768.21,2602.78,2771.94,2449.2,2740428846.0
2018-11-30,2617.03,2588.19,2703.51,2555.32,4052823291.0
2018-12-28,2647.13,2493.9,2666.08,2462.84,2575119396.0
2019-01-31,2497.88,2584.57,2630.32,2440.91,3385640703.0
2019-02-28,2597.78,2940.95,2997.49,2590.55,4421808308.0
2019-03-29,2954.4,3090.76,3129.94,2930.83,8691925445.0
2019-04-30,3111.66,3078.34,3288.45,3050.03,7487133084.0
2019-05-31,2984.73,2898.7,2986.54,2833.04,4465126595.0
2019-06-28,2901.74,2978.88,3012.83,2822.19,3974677497.0
2019-07-31,3024.62,2932.51,3048.48,2879.69,3718515287.0
2019-08-30,2920.85,2886.24,2927.34,2733.92,3694481763.0
2019-09-30,2886.94,2905.19,3042.93,2883.68,3946915544.0
2019-10-31,2905.76,2929.06,3026.38,2891.54,2635181112.0
2019-11-29,2924.34,2871.98,3008.31,2858.58,3044961689.0
2019-12-31,2874.45,3050.12,3051.68,2857.32,4127694911.0
2020-01-23,3066.34,2976.53,3127.17,2955.35,3873404241.0
2020-02-28,2716.7,2880.3,3058.9,2685.27,6537017087.0
2020-03-31,2899.31,2750.3,3074.26,2646.8,6989474740.0
2020-04-30,2743.54,2860.08,2865.59,2719.9,4710379197.0
2020-05-29,2831.63,2852.35,2914.28,2802.47,3703707261.0
2020-06-30,2871.96,2984.67,2990.83,2871.96,4699819685.0
2020-07-31,2991.18,3310.01,3458.79,2984.98,10244995255.0
2020-08-31,3332.18,3395.68,3456.72,3263.27,7359125698.0
2020-09-30,3389.74,3218.05,3425.63,3202.34,4906229050.0
2020-10-30,3262.61,3224.53,3371.09,3219.42,3036961348.0
2020-11-30,3228.72,3391.76,3456.74,3209.91,5680576725.0
2020-12-31,3388.99,3473.07,3474.92,3325.17,6445145543.0
2021-01-29,3474.68,3483.07,3637.1,3446.55,6639623529.0
2021-02-26,3477.17,3509.08,3731.69,3465.77,4840738317.0
2021-03-31,3531.48,3441.91,3577.62,3328.31,7440631263.0
2021-04-30,3444.81,3446.86,3497.12,3373.09,5695268416.0
2021-05-31,3446.07,3615.48,3626.36,3384.7,5801682765.0
2021-06-30,3608.6,3591.2,3629.29,3503.18,6683645248.0
2021-07-30,3600.55,3397.36,3607.7,3312.72,7903949122.0
2021-08-31,3385.69,3543.94,3544.09,3367.64,8942659984.0
2021-09-30,3543.87,3568.17,3723.85,3514.67,10729081584.0
2021-10-29,3609.09,3547.34,3625.02,3502.8,5618167338.0
2021-11-30,3530.4,3563.89,3602.74,3448.44,7151322463.0
2021-12-31,3561.89,3639.78,3708.94,3558.69,8638712813.0
2022-01-28,3649.15,3361.44,3651.89,3356.56,6625720056.0
2022-02-28,3407.76,3462.31,3500.15,3390.46,5377253661.0
2022-03-31,3471.36,3252.2,3500.29,3023.3,8702005971.0
2022-04-29,3234.67,3047.06,3290.26,2863.65,7477907700.0
2022-05-31,3044.85,3186.43,3188.6,2957.4,6747272851.0
2022-06-30,3179.69,3398.62,3417.01,3160.04,8739387708.0
2022-07-29,3400.26,3253.24,3424.84,3226.23,6880870259.0
2022-08-31,3246.62,3202.14,3296.0,3155.19,7050010147.0
2022-09-30,3196.54,3024.39,3278.17,3021.93,5490155898.0
2022-10-31,3026.94,2893.48,3099.92,2885.09,4138633402.0
2022-11-30,2899.5,3151.34,3158.57,2896.76,6869078398.0
2022-12-30,3187.99,3089.26,3226.08,3031.54,6140331998.0
2023-01-31,3087.51,3255.67,3310.49,3073.05,4133432232.0
