日期,开盘,收盘,最高,最低,成交量
2022-08-05,3246.62,3227.03,3264.3,3155.19,1546849318.0
2022-08-12,3218.85,3276.89,3288.22,3214.08,1371995413.0
2022-08-19,3268.37,3258.08,3296.0,3258.06,1552054055.0
2022-08-26,3249.7,3236.22,3284.6,3199.12,1643368521.0
2022-09-02,3203.1,3186.48,3243.75,3173.79,1460860292.0
2022-09-09,3183.95,3262.05,3266.2,3172.04,1466067811.0
2022-09-16,3272.05,3126.4,3278.17,3126.4,1173065202.0
2022-09-23,3122.75,3088.37,3140.03,3072.24,1166227100.0
2022-09-30,3067.57,3024.39,3102.65,3021.93,1159678333.0
2022-10-14,3026.94,3071.99,3084.27,2934.09,1227041677.0
2022-10-21,3060.52,3038.93,3099.92,3013.69,1229128952.0
2022-10-28,3034.75,2915.93,3064.42,2908.98,1380468570.0
2022-11-04,2893.2,3070.8,3081.59,2885.09,1536037336.0
2022-11-11,3062.86,3087.29,3117.74,3022.85,1492702760.0
2022-11-18,3100.87,3097.24,3145.75,3074.5,1583671320.0
2022-11-25,3078.06,3101.69,3118.12,3056.17,1488681832.0
2022-12-02,3055.29,3156.14,3198.41,3034.7,1764804893.0
2022-12-09,3181.92,3206.95,3226.08,3177.06,1869414314.0
2022-12-16,3195.87,3167.86,3196.72,3151.61,1387621689.0
2022-12-23,3165.31,3045.87,3170.26,3031.54,1102078069.0
2022-12-30,3048.2,3089.26,3098.65,3047.35,1086392386.0
2023-01-06,3087.51,3157.64,3170.74,3073.05,1069067261.0
2023-01-13,3169.37,3195.31,3195.31,3153.4,1165740464.0
2023-01-20,3198.52,3264.81,3267.06,3197.32,1245135721.0
2023-02-03,3308.87,3263.41,3310.49,3235.35,1619754143.0
2023-02-10,3244.7,3260.67,3270.38,3225.77,1267911493.0
2023-02-17,3256.99,3224.02,3308.83,3223.26,1497441261.0
2023-02-24,3230.47,3267.16,3308.79,3225.84,1401351777.0
2023-03-03,3257.0,3328.39,3330.6,3246.14,1485396015.0
2023-03-10,3332.02,3230.08,3342.86,3229.5,1536089218.0
2023-03-17,3228.12,3250.55,3279.92,3216.99,1590393572.0
2023-03-24,3253.93,3265.65,3286.65,3231.65,1615800362.0
2023-03-31,3261.82,3272.86,3278.42,3220.98,1513956415.0
2023-04-07,3277.34,3327.65,3328.85,3276.42,1353736063.0
2023-04-14,3331.51,3338.15,3340.08,3298.25,1690572596.0
2023-04-21,3337.06,3301.26,3396.17,3301.26,1835082918.0
2023-04-28,3300.81,3323.27,3324.88,3229.45,1836214516.0
2023-05-05,3306.48,3334.5,3364.14,3302.03,919869410.0
2023-05-12,3340.99,3272.36,3418.95,3271.43,2260429953.0
2023-05-19,3269.88,3283.54,3317.9,3235.87,1591640883.0
2023-05-26,3278.6,3212.5,3308.53,3168.57,1383178742.0
2023-06-02,3219.76,3230.07,3233.99,3186.63,1502493142.0
2023-06-09,3231.81,3231.41,3247.35,3180.54,1452095717.0
2023-06-16,3225.3,3273.33,3276.55,3210.71,1537487756.0
2023-06-21,3271.16,3197.9,3271.16,3197.9,920391015.0
2023-06-30,3177.23,3202.06,3212.99,3144.25,1387686033.0
2023-07-07,3209.16,3196.61,3246.96,3189.21,1357444043.0
2023-07-14,3208.73,3237.7,3248.38,3192.66,1285532222.0
2023-07-21,3219.02,3167.75,3219.02,3157.33,1166858749.0
2023-07-28,3157.47,3275.93,3280.28,3151.13,1620606277.0
2023-08-04,3287.21,3288.08,3322.13,3247.27,2179882340.0
2023-08-11,3276.78,3189.25,3276.78,3189.25,1565630647.0
2023-08-18,3159.71,3131.95,3186.23,3123.25,1443903479.0
2023-08-25,3125.99,3064.07,3134.96,3053.04,1440686205.0
2023-09-01,3219.04,3133.25,3219.04,3089.12,1837754645.0
2023-09-08,3145.94,3116.72,3177.06,3104.67,1424845016.0
2023-09-15,3119.61,3117.74,3155.1,3106.97,1330832509.0
2023-09-22,3110.44,3132.43,3132.56,3078.8,1255858931.0
2023-09-28,3131.21,3110.48,3131.21,3102.27,957542009.0
